Urdu,Roman_Urdu
قبول فرمائیں آپ دعوت تو اپنا سرمایہ کل کھلا دے,qubl farme aap dvat to apn sarmya kul khil de
بتوں سے ان کو نہیں لگاوٹ مسوں کی لیتے نہیں وہ آہٹ,buto se un ko nah lagvat miso k lete nah vo aahat
تمام قوت ہے صرف خواندن نظر کے بھولے ہیں دل کی سادے,tamm quvvat hai sarfehvdan nazar ke bhole hai dil k saade
نظر بھی آئے جو زلف پیچاں تو سمجھیں یہ کوئی پالسی ہے,nazar bh aae jo zulfepech to samjhe ye ko policy hai
الکٹرک لائٹ اس کو سمجھیں جو برق وش کوئی کوئی دے,electric light us ko samjhe jo barqvash ko ko de
نکلتے ہیں کر کے غول بندی بنام تہذیب و درد مندی,nikalte hai kar ke holband banmetahzb o dardmand
یہ کہہ کے لیتے ہیں سب سے چندے ہمیں جو تم دو تمہیں خدا دے,ye kah ke lete hai sab se chande hame jo tum do tumhe hud de
انہیں اسی بات پر یقین ہے کہ بس یہی اصل کار دیں ہے,unhe is baat par yaqn hai ki bas yah asal kreade hai
اسی سی ہوگا فروغ قومی اسی سے چمکیں گے باپ دادے,is s hog faroheqaum is se chamkege baap daade
مکان کالج کے سب مکیں ہیں ابھی انہیں تجربے نہیں ہیں,maknecollege ke sab mak hai abh unhe tajrabe nah hai
خبر نہیں ہے کہ آگے چل کر ہے کیسی منزل ہیں کیسی جادے,habar nah hai ki aage chal kar hai kais manzil hai kais jaade
دلوں میں ان کے ہے نور ایماں قوی نہیں ہے مگر نگہباں,dilo me un ke hai nrem qav nah hai magar nigahb
ہوائے منطق ادائے طفلی یہ شمع ایسا نہ ہو بجھا دے,havemantiq adetifl ye shama ais na ho bujh de
فریب دے کر نکالے مطلب سکھائے تحقیر دین و مذہب,fareb de kar nikle matlab sikhe tahqrednomazhab
مٹا دے آخر کو وضع ملت نمود ذاتی کو گر بڑھا دے,mit de hir ko vazemillat numdezt ko gar bah de
یہی بس اکبرؔ کی التجا ہے جناب باری میں یہ دعا ہے,yah bas akbar k iltij hai janbebr me ye du hai
علوم و حکمت کا درس ان کو پروفیسر دیں سمجھ خدا دے,ulmohikmat k dars un ko professor de samajh hud de
خوشی ہے سب کو کہ آپریشن میں خوب نشتر یہ چل رہا ہے,hush hai sab ko ki operation me huub nishtar ye chal rah hai
کسی کو اس کی خبر نہیں ہے مریض کا دم نکل رہا ہے,kis ko is k habar nah hai marz k dam nikal rah hai
فنا اسی رنگ پر ہے قائم فلک وہی چال چل رہا ہے,fan is rag par hai qaaim falak vah chaal chal rah hai
شکستہ و منتشر ہے وہ کل جو آج سانچے میں ڈھل رہا ہے,shikasta o muntashir hai vo kal jo aaj sche me dhal rah hai
یہ دیکھتے ہو جو کاسۂ سر غرور غفلت سے کل تھا مملو,ye dekhte ho jo ksaesar hurrehaflat se kal th maml
یہی بدن ناز سے پلا تھا جو آج مٹی میں گل رہا ہے,yah badan naaz se pal th jo aaj mitt me gal rah hai
سمجھ ہو جس کی بلیغ سمجھے نظر ہو جس کی وسیع دیکھے,samajh ho jis k balh samjhe nazar ho jis k vasa dekhe
ابھی یہاں خاک بھی اڑے گی جہاں یہ قلزم ابل رہا ہے,abh yah haak bh ueg jah ye qulzum ubal rah hai
کہاں کا شرقی کہاں کا غربی تمام دکھ سکھ ہے یہ مساوی,kah k sharq kah k harb tamm dukh sukh hai ye masv
یہاں بھی اک بامراد خوش ہے وہاں بھی اک غم سے جل رہا ہے,yah bh ik bmurd hush hai vah bh ik ham se jal rah hai
عروج قومی زوال قومی خدا کی قدرت کے ہیں کرشمے,urjeqaum zavleqaum hud k qudrat ke hai karishme
ہمیشہ رد و بدل کے اندر یہ امر پولٹیکل رہا ہے,hamesha raddobadal ke andar ye amr political rah hai
مزہ ہے اسپیچ کا ڈنر میں خبر یہ چھپتی ہے پانیر میں,maza hai spch k dinner me habar ye chhapt hai pionr me
فلک کی گردش کے ساتھ ہی ساتھ کام یاروں کا چل رہا ہے,falak k gardish ke saath h saath kaam yro k chal rah hai
کیا جانیے سید تھے حق آگاہ کہاں تک,ky jniye sayyad the haq gh kah tak
سمجھے نہ کہ سیدھی ہے مری راہ کہاں تک,samjhe na ki sdh hai mir raah kah tak
منطق بھی تو اک چیز ہے اے قبلہ و کعبہ,mantiq bh to ik chiiz hai ai qibla o kaaba
دے سکتی ہے کام آپ کی واللہ کہاں تک,de sakt hai kaam aap k vallh kah tak
افلاک تو اس عہد میں ثابت ہوئے معدوم,aflk to is ahd me sbit hue mdm
اب کیا کہوں جاتی ہے مری آہ کہاں تک,ab ky kah jaat hai mir aah kah tak
کچھ صنعت و حرفت پہ بھی لازم ہے توجہ,kuchh sanat o hirfat pe bh lzim hai tavajjoh
آخر یہ گورنمنٹ سے تنخواہ کہاں تک,hir ye government se tanhvh kah tak
مرنا بھی ضروری ہے خدا بھی ہے کوئی چیز,marn bh zarr hai hud bh hai ko chiiz
اے حرص کے بندو ہوس جاہ کہاں تک,ai hirs ke bando havasejh kah tak
تحسین کے لائق ترا ہر شعر ہے اکبرؔ,tahsn ke laaeq tir har sher hai akbar
احباب کریں بزم میں اب واہ کہاں تک,ahbb kare bazm me ab vaah kah tak
معنی کو بھلا دیتی ہے صورت ہے تو یہ ہے,maan ko bhul det hai srat hai to ye hai
نیچر بھی سبق سیکھ لے زینت ہے تو یہ ہے,nature bh sabaq siikh le znat hai to ye hai
کمرے میں جو ہنستی ہوئی آئی مس رعنا,kamre me jo hast hu aa miseraan
ٹیچر نے کہا علم کی آفت ہے تو یہ ہے,teacher ne kah ilm k aafat hai to ye hai
یہ بات تو اچھی ہے کہ الفت ہو مسوں سے,ye baat to achchh hai ki ulfat ho miso se
حور ان کو سمجھتے ہیں قیامت ہے تو یہ ہے,huur un ko samajhte hai qaymat hai to ye hai
پیچیدہ مسائل کے لیے جاتے ہیں انگلینڈ,pechda masil ke liye jaate hai england
زلفوں میں الجھ آتے ہیں شامت ہے تو یہ ہے,zulfo me ulajh aate hai shmat hai to ye hai
پبلک میں ذرا ہاتھ ملا لیجئے مجھ سے,public me zar haath mil ljiye mujh se
صاحب مرے ایمان کی قیمت ہے تو یہ ہے,shab mire mn k qmat hai to ye hai
نہ بہتے اشک تو تاثیر میں سوا ہوتے,na bahte ashk to tsr me siv hote
صدف میں رہتے یہ موتی تو بے بہا ہوتے,sadaf me rahte ye mot to bebah hote
مجھ ایسے رند سے رکھتے ضرور ہی الفت,mujh aise rind se rakhte zarr h ulfat
جناب شیخ اگر عاشق خدا ہوتے,janbeshaih agar shiqehud hote
گناہ گاروں نے دیکھا جمال رحمت کو,gunhgro ne dekh jamlerahmat ko
کہاں نصیب یہ ہوتا جو بے خطا ہوتے,kah nasb ye hot jo behat hote
جناب حضرت ناصح کا واہ کیا کہنا,janbehazratenseh k vaah ky kahn
جو ایک بات نہ ہوتی تو اولیا ہوتے,jo ek baat na hot to auliy hote
مذاق عشق نہیں شیخ میں یہ ہے افسوس,mazqeishq nah sheh me ye hai afsos
یہ چاشنی بھی جو ہوتی تو کیا سے کیا ہوتے,ye chshn bh jo hot to ky se ky hote
محل شکر ہیں اکبرؔ یہ درفشاں نظمیں,mahalleshukr hai akbar ye darafsh nazme
ہر اک زباں کو یہ موتی نہیں عطا ہوتے,har ik zab ko ye mot nah at hote
نہ حاصل ہوا صبر و آرام دل کا,na hsil hu sabrorm dil k
نہ نکلا کبھی تم سے کچھ کام دل کا,na nikl kabh tum se kuchh kaam dil k
محبت کا نشہ رہے کیوں نہ ہر دم,mohabbat k nashsha rahe kyuu na hardam
بھرا ہے مئے عشق سے جام دل کا,bhar hai maieishq se jaam dil k
پھنسایا تو آنکھوں نے دام بلا میں,phasy to kho ne dmebal me
مگر عشق میں ہو گیا نام دل کا,magar ishq me ho gay naam dil k
ہوا خواب رسوا یہ عشق بتاں میں,hu hvb rusv ye ishqebut me
خدا ہی ہے اب میرے بدنام دل کا,hud h hai ab mere badnm dil k
یہ بانکی ادائیں یہ ترچھی نگاہیں,ye bk ade ye tirchh nighe
یہی لے گئیں صبر و آرام دل کا,yah le gaii sabrorm dil k
دھواں پہلے اٹھتا تھا آغاز تھا وہ,dhu pahle utht th hz th vo
ہوا خاک اب یہ ہے انجام دل کا,hu haak ab ye hai anjm dil k
جب آغاز الفت ہی میں جل رہا ہے,jab hzeulfat h me jal rah hai
تو کیا خاک بتلاؤں انجام دل کا,to ky haak batl anjm dil k
خدا کے لئے پھیر دو مجھ کو صاحب,hud ke liye pher do mujh ko shab
جو سرکار میں کچھ نہ ہو کام دل کا,jo sarkr me kuchh na ho kaam dil k
پس مرگ ان پر کھلا حال الفت,pasemarg un par khul hleulfat
گئی لے کے روح اپنی پیغام دل کا,ga le ke ruuh apn paihm dil k
تڑپتا ہوا یوں نہ پایا ہمیشہ,taapt hu yuu na paay hamesha
کہوں کیا میں آغاز و انجام دل کا,kah ky mai hzoanjm dil k
دل اس بے وفا کو جو دیتے ہو اکبرؔ,dil us bevaf ko jo dete ho akbar
تو کچھ سوچ لو پہلے انجام دل کا,to kuchh soch lo pahle anjm dil k
نہ روح مذہب نہ قلب عارف نہ شاعرانہ زبان باقی,na rhemazhab na qalberif na shirna zabn baaq
زمیں ہماری بدل گئی ہے اگرچہ ہے آسمان باقی,zam hamr badal ga hai agarche hai smn baaq
شب گزشتہ کے ساز و ساماں کے اب کہاں ہیں نشان باقی,shabeguzishta ke saaz o sm ke ab kah hai nishn baaq
زبان شمع سحر پہ حسرت کی رہ گئی داستان باقی,zabneshamaesahar pe hasrat k rah ga dstn baaq
جو ذکر آتا ہے آخرت کا تو آپ ہوتے ہیں صاف منکر,jo zikr aat hai hirat k to aap hote hai saaf munkir
خدا کی نسبت بھی دیکھتا ہوں یقین رخصت گمان باقی,hud k nisbat bh dekht huu yaqn ruhsat gumn baaq
فضول ہے ان کی بد دماغی کہاں ہے فریاد اب لبوں پر,fuzl hai un k baddimh kah hai fariyd ab labo par
یہ وار پر وار اب عبث ہیں کہاں بدن میں ہے جان باقی,ye vaar par vaar ab abas hai kah badan me hai jaan baaq
میں اپنے مٹنے کے غم میں نالاں ادھر زمانہ ہے شاد و خنداں,mai apne mitne ke ham me nl udhar zamna hai shaad o hand
اشارہ کرتی ہے چشم دوراں جو آن باقی جہان باقی,ishra kart hai chashmedaur jo aan baaq jahn baaq
اسی لیے رہ گئی ہیں آنکھیں کہ میرے مٹنے کا رنگ دیکھیں,is liye rah ga hai khe ki mere mitne k rag dekhe
سنوں وہ باتیں جو ہوش اڑائیں اسی لیے ہیں یہ کان باقی,sun vo bte jo hosh ue is liye hai ye kaan baaq
تعجب آتا ہے طفل دل پر کہ ہو گیا مست نظم اکبرؔ,taajjub aat hai tifledil par ki ho gay mastenazmeakbar
ابھی مڈل پاس تک نہیں ہے بہت سے ہیں امتحان باقی,abh middle paas tak nah hai bahut se hai imtihn baaq
پھر گئی آپ کی دو دن میں طبیعت کیسی,phir ga aap k do din me tabat kais
یہ وفا کیسی تھی صاحب یہ مروت کیسی,ye vaf kais th shab ye muravvat kais
دوست احباب سے ہنس بول کے کٹ جائے گی رات,dost ahbb se has bol ke kat jeg raat
رند آزاد ہیں ہم کو شب فرقت کیسی,rindezd hai ham ko shabefurqat kais
جس حسیں سے ہوئی الفت وہی معشوق اپنا,jis has se hu ulfat vah maashq apn
عشق کس چیز کو کہتے ہیں طبیعت کیسی,ishq kis chiiz ko kahte hai tabat kais
ہے جو قسمت میں وہی ہوگا نہ کچھ کم نہ سوا,hai jo qismat me vah hog na kuchh kam na siv
آرزو کہتے ہیں کس چیز کو حسرت کیسی,aarz kahte hai kis chiiz ko hasrat kais
حال کھلتا نہیں کچھ دل کے دھڑکنے کا مجھے,haal khult nah kuchh dil ke dhaakne k mujhe
آج رہ رہ کے بھر آتی ہے طبیعت کیسی,aaj rah rah ke bhar aat hai tabat kais
کوچۂ یار میں جاتا تو نظارہ کرتا,kchaeyr me jaat to nazra kart
قیس آوارہ ہے جنگل میں یہ وحشت کیسی,qais vra hai jagal me ye vahshat kais
رنگ شراب سے مری نیت بدل گئی,ragesharb se mir niyyat badal ga
واعظ کی بات رہ گئی ساقی کی چل گئی,vaaiz k baat rah ga saaq k chal ga
طیار تھے نماز پہ ہم سن کے ذکر حور,tayyr the namz pe ham sun ke zikrehr
جلوہ بتوں کا دیکھ کے نیت بدل گئی,jalva buto k dekh ke niyyat badal ga
مچھلی نے ڈھیل پائی ہے لقمے پہ شاد ہے,machhl ne dhiil paa hai luqme pe shaad hai
صیاد مطمئن ہے کہ کانٹا نگل گئی,sayyd mutmain hai ki kt nigal ga
چمکا ترا جمال جو محفل میں وقت شام,chamk tir jaml jo mahfil me vaqteshm
پروانہ بیقرار ہوا شمع جل گئی,parvna beqarr hu shama jal ga
عقبی کی باز پرس کا جاتا رہا خیال,uqb k bzpurs k jaat rah hayl
دنیا کی لذتوں میں طبیعت بہل گئی,duniy k lazzato me tabat bahal ga
حسرت بہت ترقیٔ دختر کی تھی انہیں,hasrat bahut taraqqeduhtar k th unhe
پردہ جو اٹھ گیا تو وہ آخر نکل گئی,parda jo uth gay to vo hir nikal ga
سانس لیتے ہوئے بھی ڈرتا ہوں,saas lete hue bh dart huu
یہ نہ سمجھیں کہ آہ کرتا ہوں,ye na samjhe ki aah kart huu
بحر ہستی میں ہوں مثال حباب,bahrehast me huu mislehabb
مٹ ہی جاتا ہوں جب ابھرتا ہوں,mit h jaat huu jab ubhart huu
اتنی آزادی بھی غنیمت ہے,itn zd bh hanmat hai
سانس لیتا ہوں بات کرتا ہوں,saas let huu baat kart huu
شیخ صاحب خدا سے ڈرتے ہوں,shaih shab hud se darte ho
میں تو انگریزوں ہی سے ڈرتا ہوں,mai to agrezo h se dart huu
آپ کیا پوچھتے ہیں میرا مزاج,aap ky pchhte hai mer mizj
شکر اللہ کا ہے مرتا ہوں,shukr allh k hai mart huu
یہ بڑا عیب مجھ میں ہے اکبرؔ,ye ba aib mujh me hai akbar
دل میں جو آئے کہہ گزرتا ہوں,dil me jo aae kah guzart huu
شیخ نے ناقوس کے سر میں جو خود ہی تان لی,sheh ne nqs ke sur me jo hud h taan l
پھر تو یاروں نے بھجن گانے کی کھل کر ٹھان لی,phir to yro ne bhajan gaane k khul kar thaan l
مدتوں قائم رہیں گی اب دلوں میں گرمیاں,muddato qaaim raheg ab dilo me garmiy
میں نے فوٹو لے لیا اس نے نظر پہچان لی,mai ne photo le liy us ne nazar pahchn l
رو رہے ہیں دوست میری لاش پر بے اختیار,ro rahe hai dost mer laash par beihtiyr
یہ نہیں دریافت کرتے کس نے اس کی جان لی,ye nah daryft karte kis ne is k jaan l
میں تو انجن کی گلے بازی کا قائل ہو گیا,mai to engine k galebz k qaail ho gay
رہ گئے نغمے حدی خوانوں کے ایسی تان لی,rah gae nahme hudhvno ke ais taan l
حضرت اکبرؔ کے استقلال کا ہوں معترف,hazrateakbar ke istiqll k huu motarif
تابہ مرگ اس پر رہے قائم جو دل میں ٹھان لی,tabamarg us par rahe qaaim jo dil me thaan l
طریق عشق میں مجھ کو کوئی کامل نہیں ملتا,tarqeishq me mujh ko ko kmil nah milt
گئے فرہاد و مجنوں اب کسی سے دل نہیں ملتا,gae farhd o majn ab kis se dil nah milt
بھری ہے انجمن لیکن کسی سے دل نہیں ملتا,bhar hai anjuman lekin kis se dil nah milt
ہمیں میں آ گیا کچھ نقص یا کامل نہیں ملتا,ham me aa gay kuchh naqs y kmil nah milt
پرانی روشنی میں اور نئی میں فرق اتنا ہے,purn raushn me aur na me farq itn hai
اسے کشتی نہیں ملتی اسے ساحل نہیں ملتا,use kasht nah milt ise shil nah milt
پہنچنا داد کو مظلوم کا مشکل ہی ہوتا ہے,pahuchn daad ko mazlm k mushkil h hot hai
کبھی قاضی نہیں ملتے کبھی قاتل نہیں ملتا,kabh qaaz nah milte kabh qtil nah milt
حریفوں پر خزانے ہیں کھلے یاں ہجر گیسو ہے,harfo par hazne hai khule yaa hijreges hai
وہاں پہ بل ہے اور یاں سانپ کا بھی بل نہیں ملتا,vah pe bil hai aur yaa saap k bh bil nah milt
یہ حسن و عشق ہی کا کام ہے شبہ کریں کس پر,ye husn o ishq h k kaam hai shubah kare kis par
مزاج ان کا نہیں ملتا ہمارا دل نہیں ملتا,mizj un k nah milt hamr dil nah milt
چھپا ہے سینہ و رخ دل ستاں ہاتھوں سے کروٹ میں,chhup hai siina o ruh dilsit htho se karvat me
مجھے سوتے میں بھی وہ حسن سے غافل نہیں ملتا,mujhe sote me bh vo husn se hfil nah milt
حواس و ہوش گم ہیں بحر عرفان الہی میں,havsohosh gum hai bahreirfneilh me
یہی دریا ہے جس میں موج کو ساحل نہیں ملتا,yah dariy hai jis me mauj ko shil nah milt
کتاب دل مجھے کافی ہے اکبرؔ درس حکمت کو,kitbedil mujhe kaaf hai akbar darsehikmat ko
میں اسپنسر سے مستغنی ہوں مجھ سے مل نہیں ملتا,mai spencer se mustahn huu mujh se mil nah milt
تری زلفوں میں دل الجھا ہوا ہے,tir zulfo me dil uljh hu hai
بلا کے پیچ میں آیا ہوا ہے,bal ke pech me aay hu hai
نہ کیوں کر بوئے خوں نامے سے آئے,na kykar beh naame se aae
اسی جلاد کا لکھا ہوا ہے,us jalld k likkh hu hai
چلے دنیا سے جس کی یاد میں ہم,chale duniy se jis k yaad me ham
غضب ہے وہ ہمیں بھولا ہوا ہے,hazab hai vo hame bhl hu hai
کہوں کیا حال اگلی عشرتوں کا,kah ky haal agl ishrato k
وہ تھا اک خواب جو بھولا ہوا ہے,vo th ik hvb jo bhl hu hai
جفا ہو یا وفا ہم سب میں خوش ہیں,jaf ho y vaf ham sab me hush hai
کریں کیا اب تو دل اٹکا ہوا ہے,kare ky ab to dil atk hu hai
ہوئی ہے عشق ہی سے حسن کی قدر,hu hai ishq h se husn k qadr
ہمیں سے آپ کا شہرا ہوا ہے,ham se aap k shohr hu hai
بتوں پر رہتی ہے مائل ہمیشہ,buto par raht hai maail hamesha
طبیعت کو خدایا کیا ہوا ہے,tabat ko hudy ky hu hai
پریشاں رہتے ہو دن رات اکبرؔ,paresh rahte ho din raat akbar
یہ کس کی زلف کا سودا ہوا ہے,ye kis k zulf k saud hu hai
امید ٹوٹی ہوئی ہے میری جو دل مرا تھا وہ مر چکا ہے,ummd tuut hu hai mer jo dil mir th vo mar chuk hai
جو زندگانی کو تلخ کر دے وہ وقت مجھ پر گزر چکا ہے,jo zindagn ko talh kar de vo vaqt mujh par guzar chuk hai
اگرچہ سینے میں سانس بھی ہے نہیں طبیعت میں جان باقی,agarche siine me saas bh hai nah tabat me jaan baaq
اجل کو ہے دیر اک نظر کی فلک تو کام اپنا کر چکا ہے,ajal ko hai der ik nazar k falak to kaam apn kar chuk hai
غریب خانے کی یہ اداسی یہ نا درستی نہیں قدیمی,harbhne k ye uds ye ndurust nah qadm
چہل پہل بھی کبھی یہاں تھی کبھی یہ گھر بھی سنور چکا ہے,chahal pahal bh kabh yah th kabh ye ghar bh savar chuk hai
یہ سینہ جس میں یہ داغ میں اب مسرتوں کا کبھی تھا مخزن,ye siina jis me ye daah me ab masarrato k kabh th mahzan
وہ دل جو ارمان سے بھرا تھا خوشی سے اس میں ٹھہر چکا ہے,vo dil jo armn se bhar th hush se us me thahar chuk hai
غریب اکبر کے گرد کیوں میں خیال واعظ سے کوئی کہہ دے,harb akbar ke gard kyuu me hayl vaaiz se ko kah de
اسے ڈراتے ہو موت سے کیا وہ زندگی ہی سے ڈر چکا ہے,use darte ho maut se ky vo zindag h se dar chuk hai
انہیں نگاہ ہے اپنے جمال ہی کی طرف,unhe nigh hai apne jaml h k taraf
نظر اٹھا کے نہیں دیکھتے کسی کی طرف,nazar uth ke nah dekhte kis k taraf
توجہ اپنی ہو کیا فن شاعری کی طرف,tavajjoh apn ho ky fanneshir k taraf
نظر ہر ایک کی جاتی ہے عیب ہی کی طرف,nazar har ek k jaat hai aib h k taraf
لکھا ہوا ہے جو رونا مرے مقدر میں,likh hu hai jo ron mire muqaddar me
خیال تک نہیں جاتا کبھی ہنسی کی طرف,hayl tak nah jaat kabh has k taraf
تمہارا سایہ بھی جو لوگ دیکھ لیتے ہیں,tumhr saaya bh jo log dekh lete hai
وہ آنکھ اٹھا کے نہیں دیکھتے پری کی طرف,vo aakh uth ke nah dekhte par k taraf
بلا میں پھنستا ہے دل مفت جان جاتی ہے,bal me phast hai dil muft jaan jaat hai
خدا کسی کو نہ لے جائے اس گلی کی طرف,hud kis ko na le jaae us gal k taraf
کبھی جو ہوتی ہے تکرار غیر سے ہم سے,kabh jo hot hai takrr hair se ham se
تو دل سے ہوتے ہو در پردہ تم اسی کی طرف,to dil se hote ho darparda tum us k taraf
نگاہ پڑتی ہے ان پر تمام محفل کی,nigh pat hai un par tamm mahfil k
وہ آنکھ اٹھا کے نہیں دیکھتے کسی کی طرف,vo aakh uth ke nah dekhte kis k taraf
نگاہ اس بت خود بیں کی ہے مرے دل پر,nigh us butehudb k hai mire dil par
نہ آئنہ کی طرف ہے نہ آرسی کی طرف,na aaine k taraf hai na aars k taraf
قبول کیجیئے للہ تحفۂ دل کو,qubl kjiye lillh tohfaedil ko
نظر نہ کیجیئے اس کی شکستگی کی طرف,nazar na kjiye is k shikastag k taraf
یہی نظر ہے جو اب قاتل زمانہ ہوئی,yah nazar hai jo ab qtilezamna hu
یہی نظر ہے کہ اٹھتی نہ تھی کسی کی طرف,yah nazar hai ki utht na th kis k taraf
غریب خانہ میں لللہ دو گھڑی بیٹھو,harbhna me lillh dogha baitho
بہت دنوں میں تم آئے ہو اس گلی کی طرف,bahut dino me tum aae ho is gal k taraf
ذرا سی دیر ہی ہو جائے گی تو کیا ہوگا,zar s der h ho jeg to ky hog
گھڑی گھڑی نہ اٹھاؤ نظر گھڑی کی طرف,gha gha na utho nazar gha k taraf
جو گھر میں پوچھے کوئی خوف کیا ہے کہہ دینا,jo ghar me pchhe ko hauf ky hai kah den
چلے گئے تھے ٹہلتے ہوئے کسی کی طرف,chale gae the tahalte hue kis k taraf
ہزار جلوۂ حسن بتاں ہو اے اکبرؔ,hazr jalvaehusnebut ho ai akbar
تم اپنا دھیان لگائے رہو اسی کی طرف,tum apn dhyn lage raho us k taraf
وہ ہوا نہ رہی وہ چمن نہ رہا وہ گلی نہ رہی وہ حسیں نہ رہے,vo hav na rah vo chaman na rah vo gal na rah vo has na rahe
وہ فلک نہ رہا وہ سماں نہ رہا وہ مکاں نہ رہے وہ مکیں نہ رہے,vo falak na rah vo sam na rah vo mak na rahe vo mak na rahe
وہ گلوں میں گلوں کی سی بو نہ رہی وہ عزیزوں میں لطف کی خو نہ رہی,vo gulo me gulo k s b na rah vo azzo me lutf k h na rah
وہ حسینوں میں رنگ وفا نہ رہا کہیں اور کی کیا وہ ہمیں نہ رہے,vo hasno me ragevaf na rah kahe aur k ky vo ham na rahe
نہ وہ آن رہی نہ امنگ رہی نہ وہ رندی و زہد کی جنگ رہی,na vo aan rah na umag rah na vo rind o zohd k jag rah
سوئے قبلہ نگاہوں کے رخ نہ رہے اور در پہ نقش جبیں نہ رہے,seqibla nigho ke ruh na rahe aur dar pe naqshejab na rahe
نہ وہ جام رہے نہ وہ مست رہے نہ فدائی عہد الست رہے,na vo jaam rahe na vo mast rahe na fidieahdealast rahe
وہ طریقۂ کار جہاں نہ رہا وہ مشاغل رونق دیں نہ رہے,vo tarqaekrejah na rah vo mashhileraunaqed na rahe
ہمیں لاکھ زمانہ لبھائے تو کیا نئے رنگ جو چرخ دکھائے تو کیا,hame laakh zamna lubhe to ky nae rag jo charh dikhe to ky
یہ محال ہے اہل وفا کے لیے غم ملت و الفت دیں نہ رہے,ye muhl hai ahlevaf ke liye hamemillat o ulfated na rahe
ترے کوچۂ زلف میں دل ہے مرا اب اسے میں سمجھتا ہوں دام بلا,tire kchaezulf me dil hai mir ab use mai samajht huu dmebal
یہ عجیب ستم ہے عجیب جفا کہ یہاں نہ رہے تو کہیں نہ رہے,ye ajiib sitam hai ajiib jaf ki yah na rahe to kah na rahe
یہ تمہارے ہی دم سے ہے بزم طرب ابھی جاؤ نہ تم نہ کرو یہ غضب,ye tumhre h dam se hai bazmetarab abh jaao na tum na karo ye hazab
کوئی بیٹھ کے لطف اٹھائے گا کیا کہ جو رونق بزم تمہیں نہ رہے,ko baith ke lutf utheg ky ki jo raunaqebazm tumh na rahe
جو تھیں چشم فلک کی بھی نور نظر وہی جن پہ نثار تھے شمس و قمر,jo thii chashmefalak k bh nrenazar vah jin pe nisr the shams o qamar
سو اب ایسی مٹی ہیں وہ انجمنیں کہ نشان بھی ان کے کہیں نہ رہے,so ab ais mit hai vo anjumanen ki nishn bh un ke kah na rahe
وہی صورتیں رہ گئیں پیش نظر جو زمانہ کو پھیریں ادھر سے ادھر,vah srate rah gaii peshenazar jo zamne ko phere idhar se udhar
مگر ایسے جمال جہاں آرا جو تھے رونق روئے زمیں نہ رہے,magar aise jamlejahr jo the raunaqerezam na rahe
غم و رنج میں اکبرؔ اگر ہے گھرا تو سمجھ لے کہ رنج کو بھی ہے فنا,ham o raj me akbar agar hai ghir to samajh le ki raj ko bh hai fan
کسی شے کو نہیں ہے جہاں میں بقا وہ زیادہ ملول و حزیں نہ رہے,kis shai ko nah hai jah me baq vo ziyda mall o haz na rahe
ضد ہے انہیں پورا مرا ارماں نہ کریں گے,zid hai unhe puur mir arm na karege
منہ سے جو نہیں نکلی ہے اب ہاں نہ کریں گے,muh se jo nah nikl hai ab haa na karege
کیوں زلف کا بوسہ مجھے لینے نہیں دیتے,kyuu zulf k bosa mujhe lene nah dete
کہتے ہیں کہ واللہ پریشاں نہ کریں گے,kahte hai ki vallh paresh na karege
ہے ذہن میں اک بات تمہارے متعلق,hai zehan me ik baat tumhre mutaalliq
خلوت میں جو پوچھو گے تو پنہاں نہ کریں گے,halvat me jo pchhoge to pinh na karege
واعظ تو بناتے ہیں مسلمان کو کافر,vaaiz to bante hai musalmn ko kfir
افسوس یہ کافر کو مسلماں نہ کریں گے,afsos ye kfir ko musalm na karege
کیوں شکر گزاری کا مجھے شوق ہے اتنا,kyuu shukrguzr k mujhe shauq hai itn
سنتا ہوں وہ مجھ پر کوئی احساں نہ کریں گے,sunt huu vo mujh par ko ehs na karege
دیوانہ نہ سمجھے ہمیں وہ سمجھے شرابی,dvna na samjhe hame vo samjhe sharb
اب چاک کبھی جیب و گریباں نہ کریں گے,ab chaak kabh jeb o gareb na karege
وہ جانتے ہیں غیر مرے گھر میں ہے مہماں,vo jnte hai hair mire ghar me hai mehm
آئیں گے تو مجھ پر کوئی احساں نہ کریں گے,ege to mujh par ko ehs na karege
عالم آب و خاک و باد سر عیاں ہے تو کہ میں,lamebohkobd sirreay hai t ki mai
وہ جو نظر سے ہے نہاں اس کا جہاں ہے تو کہ میں,vo jo nazar se hai nih us k jah hai t ki mai
وہ شب درد و سوز و غم کہتے ہیں زندگی جسے,vo shabedardosozoham kahte hai zindag jise
اس کی سحر ہے تو کہ میں اس کی اذاں ہے تو کہ میں,us k sahar hai t ki mai us k azaa hai t ki mai
کس کی نمود کے لیے شام و سحر ہیں گرم سیر,kis k numd ke liye shaam o sahar hai garmesair
شانۂ روزگار پر نار گراں ہے تو کہ میں,shnaerozgr par bregir hai t ki mai
تو کف خاک و بے بصر میں کف خاک و خود نگر,t kafehk o bebasar mai kafehk o hudnigar
کشت وجود کے لیے آب رواں ہے تو کہ میں,kishtevajd ke liye berav hai t ki mai
افلاک سے آتا ہے نالوں کا جواب آخر,aflk se aat hai nlo k javb hir
کرتے ہیں خطاب آخر اٹھتے ہیں حجاب آخر,karte hai hitb hir uthte hai hijb hir
احوال محبت میں کچھ فرق نہیں ایسا,ahvlemohabbat me kuchh farq nah ais
