Urdu,Roman_Urdu
در جنت نہ وا ہوگا در رحمت تو وا ہوگا,darejannat na v hog darerahmat to v hog
حجابوں کو سمجھ بیٹھا میں جلوہ,hijbo ko samajh baith mai jalva
چل نہ پڑیے تو پاؤں جلتے ہیں,chal na paiye to paav jalte hai
عمر کے ہر ورق پہ دل کی نظر,umr ke har varaq pe dil k nazar
اب سبھی کو سبھی سے خطرہ ہے,ab sabh ko sabh se hatra hai
دنیائے دوں کی دے نہ محبت خدا ظفرؔ,duniyed k de na mohabbat hud zafar
مگر نہ چھوڑیں گے لوگ اس کو گر نہ پھنکارا,magar na chhoege log us ko gar na phunkr
گھر کو آگ لگائیں ہم بھی روشن اپنی رات کریں,ghar ko aag lage ham bh raushan apn raat kare
بچھڑا ہے جو اک بار تو ملتے نہیں دیکھا,bichh hai jo ik baar to milte nah dekh
گھر ہے اللہ کا یہ اس کی تو تعمیر نہ توڑ,ghar hai allh k ye is k to taamr na to
وہ چمک کے برق رہ گئی وہ گرج کے ابر گزر گیا,vo chamak ke barq rah ga vo garaj ke abr guzar gay
کس ناز سے کہتے ہیں وہ جھنجھلا کے شب وصل,kis naaz se kahte hai vo jhujhl ke shabevasl
کس کس اپنی کل کو رووے ہجراں میں بے کل اس کا,kis kis apn kal ko rove hijr me bekal us k
جو غم سے فرصت اب اک دم ہمیں بھی ہو تمہیں بھی ہو,jo ham se fursat ab ik dam hame bh ho tumhe bh ho
سخن میں خامۂ غالبؔ کی آتش افشانی,suhan me hmaehlib k tishafshn
جھوٹوں کی دنیا میں سچ کو تابانی دے مولا,jhto k duniy me sach ko tbn de maul
جی ڈھا جائے ہے سحر سے آہ,j dhah jaae hai sahar se aah
لڑکیوں کے دکھ عجب ہوتے ہیں سکھ اس سے عجیب,lakiyo ke dukh ajab hote hai sukh us se ajiib
جب آسماں سے کوئی فیصلہ اترتا ہے,jab sm se ko faisla utart hai
زخمی ہیں محباں تری شمشیر جفا کے,zahm hai mohibb tir shamshrejaf ke
بنایا ناتوانی نے سلیمان زماں مجھ کو,bany ntavn ne sulaimnezam mujh ko
دل کا کیا ہے وہ تو چاہے گا مسلسل ملنا,dil k ky hai vo to chheg musalsal miln
ہو صبر کہ بیتابی امید کہ مایوسی,ho sabr ki betb ummd ki mys
ذکر آئے تو مرے لب سے دعائیں نکلیں,zikr aae to mire lab se due nikle
اب اس کو کفر مانیں یا بلندیٔ نظر جانیں,ab is ko kufr mne y bulandenazar jne
صبا ہووے گا مشک چیں کی خوشبوئی سے کیا حاصل,sab hoveg mushkch k hushb se ky hsil
کہ اس شجر پہ شگوفے ثمر کے دیکھتے ہیں,ki us shajar pe shagfe samar ke dekhte hai
تھیں سجی حسرتیں دکانوں پر,thii saj hasrate dukno par
نیا ہے شہر نئے آسرے تلاش کروں,nay hai shahr nae aasre talsh kar
بوسہ نہیں نہ دیجیے دشنام ہی سہی,bosa nah na djiye dushnm h sah
اور سب جس طرح بہلتے ہیں,aur sab jis tarah bahalte hai
کہ ہم سے دوست بہت بے خبر ہمارے ہوئے,ki ham se dost bahut behabar hamre hue
یہ جھریاں نہیں ہاتھوں پہ ضعف پیری نے,ye jhurriy nah htho pe zoafepr ne
سرمۂ مفت نظر ہوں مری قیمت یہ ہے,surmaemuftenazar huu mir qmat ye hai
راہزنوں سے بھی بد تر ہیں راہنما کہلانے والے,rhzano se bh badtar hai rhnum kahlne vaale
تبدل یاں ہے ہر ساعت کبھی یوں ہے کبھی ووں ہے,tabaddul yaa hai har saaat kabh yuu hai kabh vuu hai
میں نے ہاتھوں کو ہی پتوار بنایا ورنہ,mai ne htho ko h patvr bany varna
نہیں تو چین سے کٹتی نہ دل ہوتا نہ غم ہوتا,nah to chain se katt na dil hot na ham hot
اور اسی میں شراب سرخی پاں رکھتی ہے جھلک پھر ویسی ہی,aur us me sharbesurhiep rakht hai jhalak phir vais h
فراغت کس قدر رہتی مجھے تشویش مرہم سے,farhat kis qadar raht mujhe tashvshemarham se
بے خبر آئے ہیں بے خبر جائیں گے,behabar aae hai behabar jege
جس پہ دل سارے عہد بھول گیا,jis pe dil saare ahd bhuul gay
غیر کی بات بگڑ جائے تو کچھ دور نہیں,hair k baat biga jaae to kuchh duur nah
اے ظاہر و موجود مرا جسم دعا ہے,ai zhiromaujd mir jism du hai
معذور ہوں جو پاؤں مرا بے طرح پڑے,maazr huu jo paav mir betarah pae
آپ سے کوئی پوچھے تم نے کیا مزا پایا,aap se ko pchhe tum ne ky maz paay
یہ ہوا کیسے اڑا لے گئی آنچل میرا,ye hav kaise u le ga chal mer
غیر پھرتا ہے لیے یوں ترے خط کو کہ اگر,hair phirt hai liye yuu tire hat ko ki agar
سچ جہاں پابستہ ملزم کے کٹہرے میں ملے,sach jah pbasta mulzim ke katahre me mile
گلشن میں میرے ساتھ ذرا عطر مل کے چل,gulshan me mere saath zar itr mal ke chal
اپنے ہی لیے جلوں کہاں تک,apne h liye jal kah tak
نہ سمجھنے کا اسے وقت نہ سمجھانے کا,na samajhne k use vaqt na samjhne k
پیرہن میں ترے رنگینیٔ تن کیا کہنا,pairahan me tire ragnetan ky kahn
رنج اور رنج بھی تنہائی کا,ranj aur ranj bh tanh k
وہ تھا مرا دل خوں گشتہ جس کے مٹنے سے,vo th mir dilehgashta jis ke mitne se
ہم لوگوں کو سچ کہنے کی عادت بھی بہت تھی,ham logo ko sach kahne k aadat bh bahut th
ڈھونڈ رہا ہے فرنگ عیش جہاں کا دوام,dhd rah hai farag aishejah k davm
یہ بھی سچ ہے کہ محبت پہ نہیں میں مجبور,ye bh sach hai ki mohabbat pe nah mai majbr
زلفیں کھولیں تو تو ٹک آیا نظر,zulfe khol to t tuk aay nazar
بیاں کیا کیجیے بیداد کاوش ہائے مژگاں کا,bay ky kjiye beddekvishhemizhg k
قسم ہے بادہ کشو چشم مست ساقی کی,qasam hai bdakasho chashmemastesq k
یہ کم تو نہیں تو مرا معیار نظر ہے,ye kam to nah t mir meyrenazar hai
وہ خزانہ نظر نہیں آتا,vo hazna nazar nah aat
کس کے ہے قتل کا سامان ذرا دیکھ تو لو,kis ke hai qatl k smn zar dekh to lo
وہ بے سبب یوں ہی روٹھا ہے لمحہ بھر کے لئے,vo besabab yh rth hai lamhabhar ke liye
کھیون ہارے بیچ بھنور میں چھوڑ کے جب اس پار گئے,khevanhre biich bhavar me chho ke jab us paar gae
نالہ سر کھینچتا ہے جب میرا,naala sar khcht hai jab mer
لاتی ہے ایسے موڑ پہ قسمت کبھی کبھی,laat hai aise mo pe qismat kabh kabh
تیرے چہرے سے ہو ظاہر غم پنہاں میرا,tere chehre se ho zhir hamepinh mer
جب نگاہیں اٹھ گئیں اللہ ری معراج شوق,jab nighe uth gaii allhr merjshauq
ظلم کو چھوڑ سجن شیوۂ احسان میں آ,zulm ko chho sajan shevaeehsn me aa
پیلے پتوں کو سہ پہر کی وحشت پرسا دیتی تھی,piile patto ko sahpahr k vahshat purs det th
مگر کبھی جو ہمیں تھا خمار جاتا رہا,magar kabh jo hame th humr jaat rah
اتنا آسان ہے پتا میرا,itn sn hai pat mer
کبھی کبھی تو اسی ایک مشت خاک کے گرد,kabh kabh to is ek mushtehk ke gird
قصہ حضور سے یہ چکایا نہ جائے گا,qissa huzr se ye chuky na jeg
ملے تو تو ہی ملے اور کچھ قبول نہیں,mile to t h mile aur kuchh qubl nah
ہر مہینے میں جو یہ بدر سے ہوتا ہے ہلال,har mahne me jo ye badr se hot hai hill
ہے قہر گر اب بھی نہ بنے بات کہ ان کو,hai qahr gar ab bh na bane baat ki un ko
ہر چند حسب ظاہر طناز ہے سراپا,harchand hasbezhir tannz hai sarp
کہیں کیا جو پوچھے کوئی ہم سے میرؔ,kahe ky jo pchhe ko ham se mr
ناخن پہ قرض اس گرہ نیم باز کا,nhun pe qarz is girahenmbz k
اس فتنہ خو کے در سے اب اٹھتے نہیں اسدؔ,us fitnah ke dar se ab uthte nah asad
وہ اب چل چکے ہیں وہ اب آ رہے ہیں,vo ab chal chuke hai vo ab aa rahe hai
جسے چھو لوں میں وہ ہو جائے سونا,jise chh luu mai vo ho jaae son
واردات دل کو دل ہی میں جگہ دیتے رہے,vrdtedil ko dil h me jagah dete rahe
ترے وعدے پر ستم گر ابھی اور صبر کرتے,tire vaade par sitamgar abh aur sabr karte
جسے چونکا کے تو نے پھیر لی آنکھ,jise chauk ke t ne pher l aakh
ہم کو دل شکستہ قضا نے دلا دیا,ham ko dilshikasta qaz ne dil diy
کھولی ہیں ذوق دید نے آنکھیں تری اگر,khol hai zauqedd ne khe tir agar
ہوں ترے وعدہ نہ کرنے میں بھی راضی کہ کبھی,huu tire vaada na karne me bh raaz ki kabh
عشق کو آزما کے دیکھ لیا,ishq ko aazm ke dekh liy
چپکے چپکے مجھ کو روتے دیکھ پاتا ہے اگر,chupke chupke mujh ko rote dekh paat hai agar
بلائیں لیتے ہیں ان کی ہم ان پر جان دیتے ہیں,bale lete hai un k ham un par jaan dete hai
جب سنا یہ کہ انہیں شیوۂ بیداد آیا,jab sun ye ki unhe shevaebedd aay
شایان دست و بازوئے قاتل نہیں رہا,shynedastobzeqtil nah rah
جیسے ہر شے میں کسی شے کی کمی پاتا ہوں میں,jaise har shai me kis shai k kam paat huu mai
جالی کی کرتی ہے وہ بلا گوٹے کی دھنک پھر ویسی ہی,jaal k kurt hai vo bal gote k dhanak phir vais h
مجھے ڈر ہے نہ توہین جمال یار ہو جائے,mujhe dar hai na tauhnejamleyr ho jaae
خلد کا اک در ہے میری گور کے اندر کھلا,huld k ik dar hai mer gor ke andar khul
اپنوں نے وہ رنج دئے ہیں بیگانے یاد آتے ہیں,apno ne vo raj diye hai begne yaad aate hai
جس دل پہ ناز تھا مجھے وہ دل نہیں رہا,jis dil pe naaz th mujhe vo dil nah rah
جو بھی خوش ہے ہم اس سے جلتے ہیں,jo bh hush hai ham us se jalte hai
جاں فزا ہے بادہ جس کے ہاتھ میں جام آ گیا,jfiz hai baada jis ke haath me jaam aa gay
اگر اس طرۂ پر پیچ و خم کا پیچ و خم نکلے,agar is turraepurpechoham k pechoham nikle
اے شہ ملک جنوں غم کے بیابان میں آ,ai shahemalkejun ham ke baybn me aa
ہزار توڑ کے آ جاؤں اس سے رشتہ وسیمؔ,hazr to ke aa j us se rishta vasm
کرتا کوئی اس بندۂ گستاخ کا منہ بند,kart ko is bandaegusth k muh band
طاقت حریف سختیٔ خواب گراں نہیں,tqat harfesahtehvbegir nah
قیامت اک ہوائے تند ہے خاک شہیداں پر,qaymat ik havetund hai hkeshahd par
شور یوں ہی نہ پرندوں نے مچایا ہوگا,shor yh na parindo ne machy hog
مردماں دیکھیو پھولی وہ کہیں شام نہ ہو,mardum dekhiyo phl vo kah shaam na ho
نظر راحت پہ میری کر نہ وعدہ شب کے آنے کا,nazar rhat pe mer kar na vaada shab ke aane k
نا قدریٔ جہاں سے کئی بار آ کے تنگ,nqadrejah se ka baar aa ke tag
شوخیٔ رنگ حنا خون وفا سے کب تک,shoheragehin hnevaf se kab tak
یہ زندگی تو نہیں موت کی سواری ہے,ye zindag to nah maut k savr hai
اس جان دوستی کا خلوص نہاں نہ پوچھ,us jnedost k hulsenih na pchh
اسے دیکھ کر اور کو پھر جو دیکھے,use dekh kar aur ko phir jo dekhe
یہ ستائش کی تمنا یہ صلے کی پرواہ,ye satish k tamann ye sile k parvh
دل و مژگاں کا جو مقدمہ تھا,dil o mizhg k jo muqaddama th
ترے سامنے آسماں اور بھی ہیں,tire smne sm aur bh hai
فطرت کی مشیت بھی بڑی چیز ہے لیکن,fitrat k mashiyyat bh ba chiiz hai lekin
جانے والے یہاں کے تھے ہی نہیں,jaane vaale yah ke the h nah
آتے آتے اس طرف ان کی سواری رہ گئی,aate aate is taraf un k savr rah ga
کب خضر و مسیحا نے مرنے کا مزہ جانا,kab hizr o mash ne marne k maza jaan
درپیش ایک تازہ مصیبت اسے بھی تھی,darpesh ek taaza musbat use bh th
جہاں کی فطرت بیگانہ میں جو کیف غم بھر دیں,jah k fitratebegna me jo kaifeham bhar de
مجھ سے کہتے ہیں ماجرا کہئے,mujh se kahte hai mjr kahiye
نے ہاتھ باگ پر ہے نہ پا ہے رکاب میں,ne haath baag par hai na p hai rikb me
اک ایسی شان پیدا کر کہ باطل تھرتھرا اٹھے,ik ais shaan paid kar ki btil tharthar utthe
لائی حباب تک کو سیل فنا بہا کر,laa hubb tak ko sailefan bah kar
سعی کو نارسا کیا تو نے,sa ko nras kiy t ne
رقیباں کے دل میں کٹاری لگے,raqb ke dil me katr lage
عشق کا پیشہ حسن پرستی عشق بڑا ہرجائی ہے,ishq k pesha husnparast ishq ba harj hai
تو دعا دے مرے افسانۂ رسوائی کو,t du de mire afsnaerusv ko
میں کہ صحرائے محبت کا مسافر تھا فرازؔ,mai ki sahremohabbat k musfir th farz
مسئلہ پھول کا ہے پھول کدھر جائے گا,masala phuul k hai phuul kidhar jeg
جان جائے کہ رہے بات نبھا دیتے ہیں,jaan jaae ki rahe baat nibh dete hai
ہے وصل ہجر عالم تمکین و ضبط میں,hai vasl hijr lametamknozabt me
اپنی گرہ سے کچھ نہ مجھے آپ دیجئے,apn girah se kuchh na mujhe aap djiye
سب نے ملائے ہاتھ یہاں تیرگی کے ساتھ,sab ne mile haath yah trg ke saath
شمع نے جل کر جلایا بزم میں پروانے کو,shama ne jal kar jaly bazm me parvne ko
زندگی یوں ہوئی بسر تنہا,zindag yuu hu basar tanh
کوئی دلچسپ مرقع نہ دکھانا ہرگز,ko dilchasp muraqq na dikhn hargiz
جس کی الفت پر بڑا دعوی تھا کل اکبرؔ تمہیں,jis k ulfat par ba daav th kal akbar tumhe
اگر بووے بجاۓ دانہ دہقاں نوک نشتر کی,agar bove bajedna dahq nok nishtar k
مٹ گئے تیرے مٹانے کے نشاں بھی اب تو,mit gae tere mitne ke nish bh ab to
اوروں سے تو وہ شرم و حیا کچھ نہیں کرتے,auro se to vo sharm o hay kuchh nah karte
تجھ پہ لہلوٹ ہے بے ساختہ پن کیا کہنا,tujh pe lahlt hai beshtapan ky kahn
اسی لیے کم رتبہ شاعر کہلاتا ہوں,is liye kamrutba sher kahlt huu
اگر رکھتی نہ خاکستر نشینی کا غبار آتش,agar rakht na hkistarnashn k hubr tish
شوق فضول و جرأت رندانہ چاہیے,shauqefuzl o juraterindna chhiye
ہیں خواب میں ہنوز جو جاگے ہیں خواب میں,hai hvb me hunz jo jaage hai hvb me
سو اس کی تیغ نے جھگڑا ہی انفصال کیا,so us k teh ne jhag h infisl kiy
یاں بھی سب کچھ دیا خدا تو نے,yaa bh sab kuchh diy hud t ne
میں نہیں جانتا دعا کیا ہے,mai nah jnt du ky hai
برقعہ اٹھتے ہی چاند سا نکلا,burqa uthte h chd s nikl
اس دل میں اک چھپا ہوا نشتر ضرور تھا,us dil me ik chhup hu nashtar zarr th
انگلیاں فگار اپنی خامہ خونچکاں اپنا,ugliy figr apn hma hchak apn
بحر کم ظرف ہے بسان حباب,bahr kamzarf hai basnehabb
کس غضب کا سنگھار کر بیٹھے,kis hazab k sighr kar baithe
سینے میں تیر اس کے ٹوٹے ہیں بے نہایت,siine me tiir us ke tuute hai benihyat
صلیب سنگ ہو یا پیرہن کے رنگ نصیرؔ,salbesag ho y pairahan ke rag nasr
نہ گریۂ سحری ہے نہ آہ نیم شبی ہے,na giryaesahar hai na henmshab hai
تو کیا سچ مچ جدائی مجھ سے کر لی,to ky sachmuch jud mujh se kar l
دیکھو نہ جو لوگوں کے دیوان نکلتے ہیں,dekho na jo logo ke dvn nikalte hai
سخت ارزاں ہے گرانی میری,saht arz hai girn mer
وہ اس کے سامنے آیا زباں پر داستاں ہو کر,vo us ke smne aay zab par dst ho kar
کتنے عیش سے رہتے ہوں گے کتنے اتراتے ہوں گے,kitne aish se rahte hoge kitne itrte hoge
اگر ہاتھوں سے اس شیریں ادا کے ذبح ہوں گے ہم,agar htho se us shrad ke zabh hoge ham
بے گناہی ہے مری اور سزا اس کی ہے,begunh hai mir aur saz us k hai
آخر زباں تو رکھتے ہو تم گر دہاں نہیں,hir zab to rakhte ho tum gar dah nah
اک عمر سے ہوں لذت گریہ سے بھی محروم,ik umr se huu lazzategirya se bh mahrm
آج اک اور برس بیت گیا اس کے بغیر,aaj ik aur baras biit gay us ke bahair
حریف وحشت ناز نسیم عشق جب آؤں,harfevahshatenzenasmeishq jab aauu
مرتے مرتے نہ کھلا یہ کہ جفا ہوتی ہے,marte marte na khul ye ki jaf hot hai
ستم کے رنگ ہیں ہر التفات پنہاں میں,sitam ke rag hai har iltiftepinh me
جانتا ہوں ثواب طاعت و زہد,jnt huu savbetatozohd
سب کچھ لٹا کے راہ محبت میں اہل دل,sab kuchh lut ke rhemohabbat me ahledil
کچھ موج ہوا پیچاں اے میرؔ نظر آئی,kuchh maujehav pech ai mr nazar aa
دل زود رنج نہ کر گلہ کسی گرم و سرد رقیب کا,dilezdranj na kar gila kis garm o sard raqb k
جو نہ ہونا تھا ہوا ہم پر تمہارے عشق میں,jo na hon th hu ham par tumhre ishq me
اپنے کو دیکھتا نہیں ذوق ستم کو دیکھ,apne ko dekht nah zauqesitam ko dekh
بنے رہو گے تم اس ملک میں میاں کب تک,bane rahoge tum is mulk me miy kab tak
دائم پڑا ہوا ترے در پر نہیں ہوں میں,daaim pa hu tire dar par nah huu mai
ابھی خوش نوا کوئی اور تھا ابھی پر کشا کوئی اور ہے,abh hushnav ko aur th abh parkush ko aur hai
آپ ہی گویا مسافر آپ ہی منزل ہوں میں,aap h goy musfir aap h manzil huu mai
یہ کون لوگ ہیں موجود تیری محفل میں,ye kaun log hai maujd ter mahfil me
حسن مہ گرچہ بہ ہنگام کمال اچھا ہے,husnemah garche bahagmekaml achchh hai
لاغر اتنا ہوں کہ گر تو بزم میں جا دے مجھے,lhar itn huu ki gar t bazm me j de mujhe
گاہ الجھ کے رہ گئی میرے توہمات میں,gaah ulajh ke rah ga mere tavahhumt me
ناز و انداز و ادا میں تری رکھا کیا ہے,nzoandzoad me tir rakkh ky hai
دل سے تو ہر معاملہ کر کے چلے تھے صاف ہم,dil se to har momla kar ke chale the saaf ham
شام بھی تھی دھواں دھواں حسن بھی تھا اداس اداس,shaam bh th dhu dhu husn bh th udaas udaas
دیوانے تیرے دشت میں رکھیں گے جب قدم,dvne tere dasht me rakkhege jab qadam
سو اب کے دونوں ہی چالیں بدل کے دیکھتے ہیں,so ab ke dono h chle badal ke dekhte hai
ابتدا سے ہم ضعیف و ناتواں پیدا ہوئے,ibtid se ham zaiif o ntav paid hue
تو ابھی رہ گزر میں ہے قید مقام سے گزر,t abh rahguzar me hai qaidemaqm se guzar
رسائی کس طرح ہو دخل کیوں کر ہو گزر کیا ہو,ras kis tarah ho dahl kykar ho guzar ky ho
جی میں آتا ہے کہ کچھ اور بھی موزوں کیجے,j me aat hai ki kuchh aur bh mauz kiije
کیوں ہمیں کر دیا گیا مجبور,kyuu hame kar diy gay majbr
اس عاشقی میں جان سے جانا بہت ہوا,is shiq me jaan se jaan bahut hu
آیا جو سیل عشق سب اسباب لے گیا,aay jo saileishq sab asbb le gay
ساغر مے مدام تجھ لب کا,sharemai mudm tujh lab k
بوسہ میں وہ مضائقہ نہ کرے,bose me vo muziqa na kare
چشم و دل بینا ہے اپنے روز و شب اے مردماں,chashm o dil biin hai apne roz o shab ai mardum
ہے ولیؔ کی زباں کو لذت بخش,hai val k zab ko lazzatbahsh
مطلب کی کہہ رہے ہیں وہ دانا ہمیں تو ہیں,matlab k kah rahe hai vo daan ham to hai
تم اتنا جو مسکرا رہے ہو,tum itn jo muskur rahe ho
ان میں اتنی تھی شرافت مجھے معلوم نہ تھا,un me itn th sharfat mujhe maalm na th
اسی جلاد کا لکھا ہوا ہے,us jalld k likkh hu hai
اپنے گیسو بھی ذرا دیکھ کہاں تک پہنچے,apne ges bh zar dekh kah tak pahuche
جوں زبان شمع داغ گرمی افسانہ ہم,juu zabneshama dhegarmieafsna ham
دو جہاں حشر زبان خشک ہیں جوں شانہ ہم,dojah hashrezabnehushk hai juu shna ham
جھپک رہی ہیں زمان و مکاں کی بھی آنکھیں,jhapak rah hai zamn o mak k bh khe
غم کا پتلا بنا دیا تو نے,ham k putl ban diy t ne
نگاہ مست نے ساقی کی انتقام لیا,nighemast ne saaq k intiqm liy
جنوں گرم انتظار و نالہ بیتابی کمند آیا,jun garm intizr o naala betb kamand aay
سب کچھ ہے خوش گوار گوارا کیے بغیر,sab kuchh hai hushgavr gavr kiye bahair
حوصلہ کچھ نہ ہمارا نہ تمہارا نکلا,hausla kuchh na hamr na tumhr nikl
ہمارے ذہن میں اس فکر کا ہے نام وصال,hamre zehn me us fikr k hai naam visl
ہیں جواں اختیار رکھتے ہیں,hai jav ihtiyr rakhte hai
شب کو کسی کے خواب میں آیا نہ ہو کہیں,shab ko kis ke hvb me aay na ho kah
ہے ننگ سینہ دل اگر آتش کدہ نہ ہو,hai nagesn dil agar tishkada na ho
جس کوں ہے نشۂ شراب سخن,jis kuu hai nashshaesharbesuhan
جب گزرتی ہے اس گلی سے صبا,jab guzart hai us gal se sab
کوئی مجھ کو یہ تو سمجھا دو کہ سمجھاویں گے کیا,ko mujh ko ye to samjh do ki samajhvege ky
خاکی ہے مگر اس کے انداز ہیں افلاکی,hk hai magar is ke andz hai aflk
ہر دھڑکن ہیجانی تھی ہر خاموشی طوفانی تھی,har dhakan haijn th har hmosh tfn th
کہوں کیا دل کی کیا حالت ہے ہجر یار میں غالب,kah ky dil k ky hlat hai hijreyr me hlib
انیسؔ مخمل و دیبا سے کیا فقیروں کو,ans mahmal o diib se ky faqro ko
مژگان کوہکن رگ خارا کہیں جسے,mizhgnekohkan ragehr kahe jise
دل خوں شدۂ کشمکش حسرت دیدار,dil hshudaekashmakashehasrateddr
تا چند پست فطرتیٔ طبع آرزو,t chand past fitratietaberz
کس بھٹی میں کون ایندھن ہے جیتے جاؤ سوچو مت,kis bhatt me kaun dhan hai jiite jaao socho mat
گھبرا نہ میرؔ عشق میں اس سہل زیست پر,ghabr na mr ishq me us sahalezst par
شام غم میں سوز عشق آتش رخسار سے,shmeham me sozeishqetisheruhsr se
کیا جانیں وے مرغان گرفتار چمن کو,ky jne ve murhnegiraftrechaman ko
دکھ کی دھوپ کے آگے سکھ کا سایا ہے,dukh k dhuup ke aage sukh k saay hai
دے دیتے ہیں ہم کر کے رقم کہہ نہیں سکتے,de dete hai ham kar ke raqam kah nah sakte
اک زمانے میں مزاج ان کا سر عرش بریں تھا,ik zamne me mizj un k sarearshebar th
جہاں کی لذت و خواہش سے ہے بشر کا خمیر,jah k lazzat o hvhish se hai bashar k hamr
ہم کہاں کے دیوتا ہیں بے وفا وہ ہیں تو کیا,ham kah ke devt hai bevaf vo hai to ky
ناداں ہی سہی ایسا بھی سادہ تو نہیں تھا,nd h sah ais bh saada to nah th
بے خون دل ہے چشم میں موج نگہ غبار,behnedil hai chashm me maujenigah hubr
آخر یہ گورنمنٹ سے تنخواہ کہاں تک,hir ye government se tanhvh kah tak
کیوں نہ دنیا کو ہو خوشی غالبؔ,kyuu na duniy ko ho hush hlib
یہ ہو جائیں گے جس جانب اسی جانب خدا ہوگا,ye ho jege jis jnib us jnib hud hog
ورنہ اڑا کے پاں نشۂ بنج لے چلا,varna u ke paa nashaebanj le chal
تم تو ہمیں کروٹ بھی بدلنے نہیں دیتے,tum to hame karvat bh badalne nah dete
تیرے بیمار کی حالت نہیں دیکھی جاتی,tere bmr k hlat nah dekh jaat
ضعف سے ہے نے قناعت سے یہ ترک جستجو,zoaf se hai ne qanat se ye tarkejustuj
رخ پر ترے بکھری ہوئی یہ زلف سیہ تاب,ruh par tire bikhr hu ye zulfesiyahtb
عشق نے جن کو کیا خاطر گرفتہ ان کا دل,ishq ne jin ko kiy htirgirafta un k dil
موسم گل مرے آنگن میں ٹھہر جائے گا,mausamegul mire gan me thahar jeg
حقیقت محرم اسرار سے پوچھ,haqqat mahrameasrr se pchh
قطرہ قطرہ اک ہیولی ہے نئے ناسور کا,qatra qatra ik hayl hai nae nsr k
راہ مضمون تازہ بند نہیں,rhemazmnetza band nah
بہ طرز اہل فنا ہے فسانہ خوانی شمع,batarzeahlefan hai fasnahvneshama
آخری سانس تک بے قرار آدمی,hir saas tak beqarr aadm
ملا نہ کچھ بھی خزانوں کی آرزو کر کے,mil na kuchh bh hazno k aarz kar ke
رنگ موسم ہے اور باد صبا,ragemausam hai aur bdesab
ملے نہ چھاؤں مگر دھوپ ڈھل تو سکتی ہے,mile na chhv magar dhuup dhal to sakt hai
تیرا منشا ترے لہجے کی دھنک میں دیکھا,ter mansh tire lahje k dhanak me dekh
اب کے شرط وفا بجا لایا,ab ke shartevaf baj laay
بدن تمام سنہرا دکھائی پڑتا ہے,badan tamm sunahr dikh pat hai
تم جو سوچو وہ تم جانو ہم تو اپنی کہتے ہیں,tum jo socho vo tum jaano ham to apn kahte hai
قسم جو کھائیے تو طالع زلیخا کی,qasam jo khiye to tlaezuleh k
مجھ سے لاغر تری آنکھوں میں کھٹکتے تو رہے,mujh se lhar tir kho me khatakte to rahe
ترے خیال کو کچھ چپ سی لگ گئی ورنہ,tire hayl ko kuchh chup s lag ga varna
ایک شیشہ ہے کہ ہر پتھر سے ٹکراتا ہوں میں,ek shsha hai ki har patthar se takrt huu mai
اجنبی اجنبی کو بھول گیا,ajnab ajnab ko bhuul gay
حسرت ہے کوئی غنچہ ہمیں پیار سے دیکھے,hasrat hai ko huncha hame pyaar se dekhe
مے کشوں پر ہوا محتسب مہرباں دل فگاروں پہ قاتل کو پیار آ گیا,maikasho par hu mohtasib mehrb dilfigro pe qtil ko pyaar aa gay
آیا یاں سے جانا ہی تو جی کا چھپانا کیا حاصل,aay yaa se jaan h to j k chhupn ky hsil
بدی کی اس نے جس سے ہم نے کی تھی بارہا نیکی,bad k us ne jis se ham ne k th brh nek
دم عیسی ہے نام تجھ لب کا,dames hai naam tujh lab k
میں جانتا ہوں وہ جب چاہے گا بلا لے گا,mai jnt huu vo jab chheg bul leg
اس پہ بن جائے کچھ ایسی کہ بن آئے نہ بنے,us pe ban jaae kuchh ais ki bin aae na bane
افسوس وے شہید کہ جو قتل گاہ میں,afsos ve shahd ki jo qatlgh me
ہے اک دروازے بن دیوار دنیا,hai ik darvze bin dvreduniy
ہوئی ہے شام تو آنکھوں میں بس گیا پھر تو,hu hai shaam to kho me bas gay phir t
دل میں تھوڑا سا جانتا کچھ ہوں,dil me tho s jnt kuchh huu
اس طرح زندگی نے دیا ہے ہمارا ساتھ,is tarah zindag ne diy hai hamr saath
نیند میں ڈوبی ہوئی چندر کرن کیا کہنا,niid me duub hu chandrkiran ky kahn
کبھی تو لوٹ کے آئے گا اے مسافر تو,kabh to laut ke aaeg ai musfir t
کس نے سحر کے پاؤں میں زنجیریں ڈالیں,kis ne sahar ke paav me zanjre dl
مقام فیضؔ کوئی راہ میں جچا ہی نہیں,maqm faiz ko raah me jach h nah
بسکہ ہر یک موئے زلف افشاں سے ہے تار شعاع,baski haryakmezulfafsh se hai treshua
یہ قرب کیا ہے کہ تو سامنے ہے اور ہمیں,ye qurb ky hai ki t smne hai aur hame
یوں فضا مہکی کہ بدلا مرے ہم راز کا رنگ,yuu faz mahk ki badl mire hamrz k rag
پوچھا ہر ایک نے یہ مسافر کہاں کے ہیں,pchh har ek ne ye musfir kah ke hai
زندگی میں تو نہ اک دم خوش کیا ہنس بول کر,zindag me to na ik dam hush kiy has bol kar
دل دشمناں سلامت دل دوستاں نشانہ,diledushman salmat diledost nishna
گاہ جلتی ہوئی گاہ بجھتی ہوئی,gaah jalt hu gaah bujht hu
ہر کائنات سے یہ الگ کائنات ہے,har kent se ye alag kent hai
